"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id","label"
"","","KR03","Gyeonbuk Region","","","","","","","","","KPW","North Korean Won","","","","","",""
"","","KR04","Jeolla Region","","","","","","","","","KRW","Won","","","","","",""
"","","KR05","Chungcheong Region","","","","","","","","","KWD","Kuwaiti Dinar","","","","","",""
"","","KR06","Gangwon Region","","","","","","","","","KYD","Cayman Islands Dollar","","","","","",""
"","","KR07","Jeju","","","","","","","","","KZT","Tenge","","","","","",""
"","","LUX","Luxembourg","","","","","","","","","LAK","Kip","","","","","",""
"","","LU00","Luxembourg","","","","","","","","","LBP","Lebanese Pound","","","","","",""
"","","MEX","Mexico","","","","","","","","","LKR","Sri Lanka Rupee","","","","","",""
"","","ME01","Aguascalientes","","","","","","","","","LRD","Liberian Dollar","","","","","",""
"","","ME02","Baja California Norte","","","","","","","","","LSL","Loti","","","","","",""
"","","ME03","Baja California Sur","","","","","","","","","LTL","Lithuanian Litas","","","","","",""
"","","ME04","Campeche","","","","","","","","","LUF","Luxembourg Franc","","","","","",""
"","","ME05","Coahuila","","","","","","","","","LVL","Latvian Lats","","","","","",""
"","","ME06","Colima","","","","","","","","","LYD","Libyan Dinar","","","","","",""
"","","ME07","Chiapas","","","","","","","","","MAD","Moroccan Dirham","","","","","",""
"","","ME08","Chihuahua","","","","","","","","","MDL","Moldovan Leu","","","","","",""
"","","ME09","Federal District (MX)","","","","","","","","","MGA","Malagasy Ariary","","","","","",""
"","","ME10","Durango","","","","","","","","","MGF","Malagasy Franc","","","","","",""
"","","ME11","Guanajuato","","","","","","","","","MKD","Denar","","","","","",""
"","","ME12","Guerrero","","","","","","","","","MMK","Kyat","","","","","",""
"","","ME13","Hidalgo","","","","","","","","","MNT","Tugrik","","","","","",""
"","","ME14","Jalisco","","","","","","","","","MOP","Pataca","","","","","",""
"","","ME15","Mexico","","","","","","","","","MRO","Ouguiya","","","","","",""
"","","ME16","Michoacan","","","","","","","","","MTL","Maltese Lira","","","","","",""
"","","ME17","Morelos","","","","","","","","","MUR","Mauritius Rupee","","","","","",""
"","","ME18","Nayarit","","","","","","","","","MVR","Rufiyaa","","","","","",""
"","","ME19","Nuevo Leon","","","","","","","","","MWK","Kwacha","","","","","",""
"","","ME20","Oaxaca","","","","","","","","","MXN","Mexican Peso","","","","","",""
"","","ME21","Puebla","","","","","","","","","MXP","Mexican peso (old)","","","","","",""
"","","ME22","Queretaro","","","","","","","","","MXV","Mexican Unidad de Inversion (UDI)","","","","","",""
"","","ME23","Quintana Roo","","","","","","","","","MYR","Malaysian Ringgit","","","","","",""
"","","ME24","San Luis Potosi","","","","","","","","","MZM","Metical (old)","","","","","",""
"","","ME25","Sinaloa","","","","","","","","","MZN","Metical","","","","","",""
"","","ME26","Sonora","","","","","","","","","NAD","Namibia Dollar","","","","","",""
"","","ME27","Tabasco","","","","","","","","","NGN","Naira","","","","","",""
"","","ME28","Tamaulipas","","","","","","","","","NIO","Cordoba Oro","","","","","",""
"","","ME29","Tlaxcala","","","","","","","","","NLG","Netherlands Guilder","","","","","",""
"","","ME30","Veracruz","","","","","","","","","NOK","Norwegian Krone","","","","","",""
"","","ME31","Yucatan","","","","","","","","","NPR","Nepalese Rupee","","","","","",""
"","","ME32","Zacatecas","","","","","","","","","NZD","New Zealand Dollar","","","","","",""
"","","NLD","Netherlands","","","","","","","","","OMR","Rial Omani","","","","","",""
"","","NZL","New Zealand","","","","","","","","","PAB","Balboa","","","","","",""
"","","NZ01","North Island (NZ)","","","","","","","","","PEN","Nuevo Sol","","","","","",""
"","","NZ02","South Island (NZ)","","","","","","","","","PGK","Kina","","","","","",""
"","","NOR","Norway","","","","","","","","","PHP","Philippine Peso","","","","","",""
"","","NO01","Oslo and Akershus","","","","","","","","","PKR","Pakistan Rupee","","","","","",""
"","","NO02","Hedmark and Oppland","","","","","","","","","PLN","Zloty","","","","","",""
"","","NO03","South-Eastern Norway","","","","","","","","","PTE","Portugese Escudo","","","","","",""
"","","NO04","Agder and Rogaland","","","","","","","","","PYG","Guarani","","","","","",""
"","","NO05","Western Norway","","","","","","","","","QAR","Qatari Rial","","","","","",""
"","","NO06","Trøndelag","","","","","","","","","ROL","Romanian Leu (old)","","","","","",""
"","","NO07","Northern Norway","","","","","","","","","RON","Romanian Leu","","","","","",""
"","","POL","Poland","","","","","","","","","RSD","Serbian Dinar","","","","","",""
"","","PL1","Central region","","","","","","","","","RUB","Russian Ruble","","","","","",""
"","","PL11","Lodzkie","","","","","","","","","RWF","Rwanda Franc","","","","","",""
"","","PL12","Mazovia","","","","","","","","","SAR","Saudi Riyal","","","","","",""
"","","PL2","South region","","","","","","","","","SBD","Solomon Islands Dollar","","","","","",""
"","","PL21","Lesser Poland ","","","","","","","","","SCR","Seychelles Rupee","","","","","",""
"","","PL22","Silesia","","","","","","","","","SDD","Sudanese Dinar","","","","","",""
"","","PL3","East region","","","","","","","","","SDG","Sudanese Pound","","","","","",""
"","","PL31","Lublin Province ","","","","","","","","","SEK","Swedish Krona","","","","","",""
"","","PL32","Podkarpacia","","","","","","","","","SGD","Singapore Dollar","","","","","",""
"","","PL33","Swietokrzyskie","","","","","","","","","SHP","Saint Helena Pound","","","","","",""
"","","PL34","Podlasie","","","","","","","","","SIT","Slovenian Tolar","","","","","",""
"","","PL4","Northeast West region","","","","","","","","","SKK","Slovak Koruna","","","","","",""
"","","PL41","Greater Poland","","","","","","","","","SLL","Leone","","","","","",""
"","","PL42","West Pomerania","","","","","","","","","SOS","Somali Shilling","","","","","",""
"","","PL43","Lubusz","","","","","","","","","SRD","Surinam Dollar","","","","","",""
"","","PL5","South-West region","","","","","","","","","SSP","South-Sudanese Pound","","","","","",""
"","","PL51","Lower Silesia ","","","","","","","","","STD","Dobra","","","","","",""
"","","PL52","Opole region","","","","","","","","","SVC","El Salvador Colon","","","","","",""
"","","PL6","North region","","","","","","","","","SYP","Syrian Pound","","","","","",""
"","","PL61","Kuyavian-Pomerania","","","","","","","","","SZL","Lilangeni","","","","","",""
"","","PL62","Warmian-Masuria","","","","","","","","","THB","Baht","","","","","",""
"","","PL63","Pomerania","","","","","","","","","TJS","Somoni","","","","","",""
"","","PRT","Portugal","","","","","","","","","TMM","Turkmen Manat (old)","","","","","",""
"","","PT11","North (PT)","","","","","","","","","TMT","Turkmen Manat","","","","","",""
"","","PT15","Algarve","","","","","","","","","TND","Tunisian Dinar","","","","","",""
"","","PT16","Central Portugal","","","","","","","","","TOP","Pa'anga","","","","","",""
"","","PT17","Lisbon","","","","","","","","","TRL","Turkish Lira (old)","","","","","",""
"","","PT18","Alentejo","","","","","","","","","TRY","Turkish Lira","","","","","",""
