"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id.9","label.8","id.10","label.9","id","label"
"","","","","FR24","Centre-Val de Loire","","","","","","","","","","","HNL","Lempira","","","","","",""
"","","","","FRB","Centre - Val de Loire","","","","","","","","","","","HRK","Croatian Kuna","","","","","",""
"","","","","FR241","Cher","","","","","","","","","","","HTG","Gourde","","","","","",""
"","","","","FR242","Eure-et-Loir","","","","","","","","","","","HUF","Forint","","","","","",""
"","","","","FR243","Indre","","","","","","","","","","","IDR","Rupiah","","","","","",""
"","","","","FR244","Indre-et-Loire","","","","","","","","","","","IEP","Irish Pound","","","","","",""
"","","","","FR245","Loir-et-Cher","","","","","","","","","","","ILS","New Israeli Sheqel","","","","","",""
"","","","","FR246","Loiret","","","","","","","","","","","INR","Indian Rupee","","","","","",""
"","","","","FR25","Lower Normandy ","","","","","","","","","","","IQD","Iraqi Dinar","","","","","",""
"","","","","FR251","Calvados","","","","","","","","","","","IRR","Iranian Rial","","","","","",""
"","","","","FR252","Manche","","","","","","","","","","","ISK","Iceland Krona","","","","","",""
"","","","","FR253","Orne","","","","","","","","","","","ITL","Italian Lira","","","","","",""
"","","","","FR26","Burgundy","","","","","","","","","","","JMD","Jamaican Dollar","","","","","",""
"","","","","FRC","Bourgogne-Franche-Comté","","","","","","","","","","","JOD","Jordanian Dinar","","","","","",""
"","","","","FR261","Côte-d'Or","","","","","","","","","","","JPY","Yen","","","","","",""
"","","","","FR262","Nièvre","","","","","","","","","","","KES","Kenyan Shilling","","","","","",""
"","","","","FR263","Saône-et-Loire","","","","","","","","","","","KGS","Som","","","","","",""
"","","","","FR264","Yonne","","","","","","","","","","","KHR","Riel","","","","","",""
"","","","","FR30","Nord-Pas-de-Calais","","","","","","","","","","","KMF","Comoro Franc","","","","","",""
"","","","","FR301","Nord (FR)","","","","","","","","","","","KPW","North Korean Won","","","","","",""
"","","","","FR302","Pas-de-Calais","","","","","","","","","","","KRW","Won","","","","","",""
"","","","","FR41","Lorraine","","","","","","","","","","","KWD","Kuwaiti Dinar","","","","","",""
"","","","","FR411","Meurthe-et-Moselle","","","","","","","","","","","KYD","Cayman Islands Dollar","","","","","",""
"","","","","FR412","Meuse","","","","","","","","","","","KZT","Tenge","","","","","",""
"","","","","FR413","Moselle","","","","","","","","","","","LAK","Kip","","","","","",""
"","","","","FR414","Vosges","","","","","","","","","","","LBP","Lebanese Pound","","","","","",""
"","","","","FR42","Alsace ","","","","","","","","","","","LKR","Sri Lanka Rupee","","","","","",""
"","","","","FR421","Bas-Rhin","","","","","","","","","","","LRD","Liberian Dollar","","","","","",""
"","","","","FR422","Haut-Rhin","","","","","","","","","","","LSL","Loti","","","","","",""
"","","","","FR43","Franche-Comté","","","","","","","","","","","LTL","Lithuanian Litas","","","","","",""
"","","","","FR431","Doubs","","","","","","","","","","","LUF","Luxembourg Franc","","","","","",""
"","","","","FR432","Jura","","","","","","","","","","","LVL","Latvian Lats","","","","","",""
"","","","","FR433","Haute-Saône","","","","","","","","","","","LYD","Libyan Dinar","","","","","",""
"","","","","FR434","Territoire de Belfort","","","","","","","","","","","MAD","Moroccan Dirham","","","","","",""
"","","","","FR51","Pays de la Loire","","","","","","","","","","","MDL","Moldovan Leu","","","","","",""
"","","","","FRG","Pays de la Loire","","","","","","","","","","","MGA","Malagasy Ariary","","","","","",""
"","","","","FR511","Loire-Atlantique","","","","","","","","","","","MGF","Malagasy Franc","","","","","",""
"","","","","FR512","Maine-et-Loire","","","","","","","","","","","MKD","Denar","","","","","",""
"","","","","FR513","Mayenne","","","","","","","","","","","MMK","Kyat","","","","","",""
"","","","","FR514","Sarthe","","","","","","","","","","","MNT","Tugrik","","","","","",""
"","","","","FR515","Vendée","","","","","","","","","","","MOP","Pataca","","","","","",""
"","","","","FR52","Brittany","","","","","","","","","","","MRO","Ouguiya","","","","","",""
"","","","","FRH","Brittany","","","","","","","","","","","MTL","Maltese Lira","","","","","",""
"","","","","FR521","Côtes-d'Armor","","","","","","","","","","","MUR","Mauritius Rupee","","","","","",""
"","","","","FR522","Finistère","","","","","","","","","","","MVR","Rufiyaa","","","","","",""
"","","","","FR523","Ille-et-Vilaine","","","","","","","","","","","MWK","Kwacha","","","","","",""
"","","","","FR524","Morbihan","","","","","","","","","","","MXN","Mexican Peso","","","","","",""
"","","","","FR53","Poitou-Charentes","","","","","","","","","","","MXP","Mexican peso (old)","","","","","",""
"","","","","FRI","Nouvelle-Aquitaine","","","","","","","","","","","MXV","Mexican Unidad de Inversion (UDI)","","","","","",""
"","","","","FR531","Charente","","","","","","","","","","","MYR","Malaysian Ringgit","","","","","",""
"","","","","FR532","Charente-Maritime","","","","","","","","","","","MZM","Metical (old)","","","","","",""
"","","","","FR533","Deux-Sèvres","","","","","","","","","","","MZN","Metical","","","","","",""
"","","","","FR534","Vienne","","","","","","","","","","","NAD","Namibia Dollar","","","","","",""
"","","","","FR61","Aquitaine","","","","","","","","","","","NGN","Naira","","","","","",""
"","","","","FR611","Dordogne","","","","","","","","","","","NIO","Cordoba Oro","","","","","",""
"","","","","FR612","Gironde","","","","","","","","","","","NLG","Netherlands Guilder","","","","","",""
"","","","","FR613","Landes","","","","","","","","","","","NOK","Norwegian Krone","","","","","",""
"","","","","FR614","Lot-et-Garonne","","","","","","","","","","","NPR","Nepalese Rupee","","","","","",""
"","","","","FR615","Pyrénées-Atlantiques","","","","","","","","","","","NZD","New Zealand Dollar","","","","","",""
